Age,EstimatedSalary,Purchased
55,18562,0
21,105941,0
38,50199,1
55,58018,1
60,56645,1
33,89232,1
37,140320,1
20,114385,1
49,126553,1
54,59104,1
27,143096,0
54,86192,0
27,24094,1
34,137307,0
34,119368,0
35,20171,1
20,38351,0
48,54191,1
18,30290,1
51,16631,0
49,98334,1
35,37553,0
19,61694,1
52,49855,1
50,38262,0
34,134438,0
52,94635,1
23,98647,0
57,104941,0
42,47195,0
56,73070,0
25,76375,1
30,74086,1
40,50772,0
19,101861,0
49,42193,1
49,45094,0
47,59572,1
46,33604,1
18,73860,1
40,56942,1
54,124477,1
32,55531,0
44,107695,1
33,42345,1
53,57922,0
59,93037,0
37,113379,1
49,122768,1
29,25068,1
20,21731,0
22,19584,1
46,58136,0
23,51808,0
42,102716,0
40,78538,1
44,99223,0
53,34257,1
40,114535,1
31,87845,0
23,45933,0
37,16727,1
56,96530,0
48,115587,1
30,24205,1
44,108759,1
41,76345,0
36,87371,0
38,29503,1
33,143423,0
22,92416,1
56,49297,0
50,62389,1
45,139085,1
26,66370,1
47,89475,1
41,31375,0
24,106004,0
33,77867,0
48,65443,0
48,27856,0
45,94563,1
38,28418,1
21,70772,0
55,141964,1
20,128328,0
34,32311,0
31,90856,1
36,34525,0
60,63870,0
35,129062,1
23,142194,1
30,64751,0
60,73294,0
30,100133,1
27,118051,0
54,33952,1
53,140471,1
45,32850,1
57,107595,0
59,138978,0
34,86521,1
45,120191,0
37,122584,1
29,21493,1
48,39300,0
50,136672,0
24,118418,1
27,127607,1
58,59974,1
29,85737,0
26,32800,0
47,83219,0
18,17324,1
32,141118,0
53,15111,1
56,144744,0
50,22574,1
47,17477,1
46,69965,0
46,94448,1
29,93278,0
32,34425,0
18,148620,0
48,56986,0
42,109491,0
19,18681,1
26,130285,1
24,53538,0
52,89827,0
59,137570,0
19,102295,0
33,32175,0
23,127827,0
31,24673,1
51,60230,1
39,116410,1
47,46865,0
44,16213,0
22,146318,1
44,149058,0
60,56904,1
32,128083,1
58,31021,0
59,89040,1
47,126168,0
29,148018,0
29,17329,1
32,25505,1
41,42793,1
60,53695,1
19,84491,0
45,35798,0
29,87315,1
49,28912,0
59,98163,0
20,102344,0
53,113134,0
24,19813,0
34,33082,1
43,21804,0
36,40418,1
42,55522,1
32,108569,0
26,58729,1
36,100923,0
21,137703,0
39,60204,1
18,30515,0
21,66422,1
39,98848,1
49,124619,1
54,91582,0
52,110537,0
19,145213,1
36,87401,1
56,87940,1
54,32284,1
39,95676,0
30,47033,1
25,16103,1
46,84300,0
50,60169,1
20,82576,1
33,70828,1
37,140521,1
52,115727,0
48,73685,1
19,98530,0
53,76168,1
44,118417,0
34,62591,0
20,25262,1
52,96637,0
29,75772,1
35,19786,0
35,105635,1
40,74483,0
38,60903,0
42,58534,0
60,97270,0
59,56433,1
43,104404,1
35,140060,1
43,16412,0
24,137145,0
52,17641,0
31,98324,1
41,90198,1
48,21978,1
46,112947,1
57,94646,0
56,60905,1
28,127738,1
29,149565,1
49,57940,0
36,93348,1
47,142310,0
19,97445,1
22,73480,0
31,69554,0
22,136841,1
30,70666,0
37,62808,0
49,44034,1
43,33723,0
25,58366,1
59,69920,0
49,89896,0
35,50182,1
38,118891,1
57,66172,0
36,15719,0
50,143314,1
34,137711,1
56,129089,0
29,139449,0
56,56936,0
19,15567,0
40,79424,0
42,15733,0
50,69448,1
59,80247,1
20,139618,1
35,141959,1
46,96049,1
43,15380,0
38,147841,1
25,49351,0
43,89723,0
37,90699,1
31,136655,0
31,118337,1
46,123196,0
45,107487,1
57,87246,0
33,142684,1
29,18543,1
38,38043,1
26,119463,1
52,63561,0
22,90485,1
30,140502,0
26,48402,0
31,30637,0
45,32895,1
57,51810,0
27,128546,1
42,89813,0
43,68544,1
37,95348,0
29,63932,1
22,73184,1
19,141754,0
58,122241,1
27,47911,0
23,67941,1
41,105190,0
51,71520,0
33,57668,1
36,98677,0
27,121580,1
31,53133,0
43,138100,1
37,103221,1
56,145702,0
55,84465,1
58,100096,0
22,60006,0
46,73168,1
30,50254,0
59,67863,0
56,75170,0
31,16371,0
43,131639,1
47,41004,1
24,30393,0
47,148547,0
46,138575,0
36,64470,0
